trackid,albumid,name,danceability,energy,key,valence,mode,tempo,speechiness,loudness,instrumentalness,acousticness,time_signature,liveness,sent,sent_magn
0R0uyYbcCmkhDG3mDPq6Jn,4UcpKa4yD9AA3iEHI8MFSF,"""Tell Me When The Whistle Blows""",0.6002120890774126,0.4904522613065326,0.8181818181818182,0.8365482233502538,0.0,0.3746666945729295,0.04017372421281217,0.5725450949555603,0.0,0.06532663316582914,0.8,0.1331967213114754,0.5,0.00120255544821
2Yf0HjCklkx54C4wQzhvzH,45StnugV9WQMQwk4rRoTy8,"""This Night Has Opened My Eyes""",0.7380699893955461,0.6281407035175879,0.18181818181818185,0.7116751269035532,1.0,0.4187530086439649,0.029315960912052123,0.7104629828198346,0.4340770791075051,0.0010050251256281406,0.8,0.25819672131147536,0.166666644591,0.00338218714769
3aPjLBWsrqTetCn3QcLSuK,630o1rKTDsLeIPreOY1jqP,"""Prove It""",0.7147401908801697,0.3809045226130653,0.18181818181818185,0.8172588832487309,1.0,0.4930952929111115,0.0488599348534202,0.5798127099864179,0.2799188640973631,0.007035175879396984,0.8,0.14651639344262296,0.555555557855,0.00210447196717
2nuPGoPyvM3ZwHxjcUKhzo,7yDxJXFPl88Dt9kBo0dDD6,"""Mother""",0.2545068928950159,0.7648241206030151,0.3636363636363637,0.5949238578680203,0.0,0.8316666317838379,0.10423452768729642,0.6914003860175852,0.007099391480730223,0.060301507537688426,0.2,0.2684426229508196,0.5,0.00263059000376
16GUMo6u3D2qo9a19AkYct,1Mhn9VosyjtWn4dMPFlna6,"""Movin' Out (Anthony's Song)""",0.7041357370095441,0.8814070351758794,0.18181818181818185,0.9086294416243654,0.0,0.5604889177253605,0.035830618892508145,0.7914313627373889,0.0,0.4673366834170854,0.8,0.03995901639344261,0.38888888429,0.00210447196717
0k2tkSYmg3ueCemL7vqfCn,6BOlD6UGUg45IsUXPSplkY,"""Nothing Was Delivered""",0.6118769883351008,0.44321608040201,0.6363636363636364,0.5979695431472081,1.0,0.4276606877498482,0.030401737242128125,0.7227583577572855,0.03448275862068966,0.7085427135678392,0.6000000000000001,0.13012295081967212,0.5,0.00210447196717
09ezgACZuwWZt6CtQSSLRG,1jWmEhn3ggaL6isoyLfwBn,"""End Of The Night""",0.43478260869565216,0.21608040201005024,1.0,0.07614213197969542,0.0,0.30172670001465074,0.031487513572204126,0.6118855291062024,0.0,0.9065326633165828,0.8,0.11782786885245902,0.777777785136,0.00653889500884
6izEYubQaf7odJ46scKEzr,2UxN3UKyS3Z5r0Sra8A5RF,"""Somebody  Got Murdered""",0.5153764581124072,0.9407035175879396,0.3636363636363637,0.7309644670050761,1.0,0.6625756085309444,0.06623235613463628,0.7278337741558843,0.005070993914807302,0.0010050251256281406,0.8,0.06762295081967212,0.111111107432,0.00488538143555
7s0JCFIi0pif9bLnEaEwS7,6k1iylSzWOs7SgavxlJ8kt,"""The Motivator""",0.7476139978791092,0.5587939698492461,0.8181818181818182,0.6934010152284263,1.0,0.532129178090793,0.0988056460369164,0.6344032215788595,0.0,0.11055276381909547,0.8,0.08401639344262295,0.888888892568,0.00939496429914
0Ulh908e71PY1AM4xru7iQ,5dqFVDJ9lPRBCqEzufd8sF,"""The Dangling Conversation""",0.4634146341463416,0.28241206030150745,0.9090909090909092,0.3269035532994924,1.0,0.3839301785303166,0.03474484256243214,0.5982557723925941,0.0,0.68643216080402,0.8,0.09733606557377047,0.27777776858,0.00488538143555
